,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Reuters,U.S. FTC says Facebook misused privacy decree to shut down ad research - Reuters,"The U.S. Federal Trade Commission criticized Facebook Inc <a href=""https://www.reuters.com/companies/FB.O"" target=""_blank"">(FB.O)</a> on Thursday for making ""misleading claims"" to explain why it had disabled the accounts of researchers studying political ads …",https://www.reuters.com/technology/us-ftc-says-facebook-misused-privacy-decree-shut-down-ad-research-2021-08-06/,https://www.reuters.com/resizer/fR44toA2IKrZ-jjj4Ec1L94wbiU=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/XIJ5ZV4OL5N7FKBIZZA2AFDORY.jpg,2021-08-06T01:18:00Z,"WASHINGTON, Aug 5 (Reuters) - The U.S. Federal Trade Commission criticized Facebook Inc (FB.O) on Thursday for making ""misleading claims"" to explain why it had disabled the accounts of researchers st… [+1899 chars]",reuters,Reuters
1,Reuters Staff,Amazon asks employees to mask up regardless of vaccination status - Bloomberg News - Reuters,"Amazon.com Inc has ordered employees to wear masks at work regardless of vaccination status, as the e-commerce giant attempts to prevent the spread of the highly infectious COVID-19 Delta variant, Bloomberg News reported on Friday.",https://www.reuters.com/article/us-health-coronavirus-amazon-idUSKBN2F72A8,https://static.reuters.com/resources/r/?m=02&d=20210806&t=2&i=1571228059&r=LYNXMPEH7516M&w=800,2021-08-06T19:27:00Z,"By Reuters Staff
FILE PHOTO: Packages emblazoned with Amazon logos travel along a conveyor belt inside of an Amazon fulfillment center in Robbinsville, New Jersey, U.S., November 27, 2017. REUTERS/L… [+824 chars]",reuters,Reuters
2,Reuters Staff,U.S. FTC says Facebook misused privacy decree to shut down ad research,"The U.S. Federal Trade Commission criticized Facebook Inc on Thursday for making ""misleading claims"" to explain why it had disabled the accounts of researchers studying political ads on the social media platform.",https://www.reuters.com/article/us-tech-facebook-ftc-idUSKBN2F702X,https://static.reuters.com/resources/r/?m=02&d=20210806&t=2&i=1571138518&r=LYNXMPEH7501L&w=800,2021-08-06T01:45:22Z,"By Reuters Staff
WASHINGTON (Reuters) - The U.S. Federal Trade Commission criticized Facebook Inc on Thursday for making misleading claims to explain why it had disabled the accounts of researchers … [+1899 chars]",reuters,Reuters
3,Joseph Ax,U.S. nurses' COVID-19 grief pours out online: 'I just don't want to watch anyone else die' - Reuters,U.S. nurses' COVID-19 grief pours out online: 'I just don't want to watch anyone else die'  Reuters,https://www.reuters.com/world/us/us-nurses-covid-19-grief-pours-out-online-i-just-dont-want-watch-anyone-else-die-2021-08-06/,https://www.reuters.com/resizer/MjnF8G6AX4n6_jA-rFecT9ToxkI=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/56G3ALR3SJIM3PYC752LLKDPME.jpg,2021-08-06T10:04:00Z,"Aug 6 (Reuters) - Nichole Atherton couldn't take it anymore.
The intensive care nurse watched helplessly last year as COVID-19 sufferers died in her Mississippi hospital - slowly, painfully and alon… [+5220 chars]",reuters,Reuters
4,Reuters,Amazon orders employees to wear masks regardless of vaccination status - Bloomberg News - Reuters,"Amazon.com Inc <a href=""https://www.reuters.com/companies/AMZN.O"" target=""_blank"">(AMZN.O)</a> has ordered employees to wear masks at work regardless of vaccination status, as the e-commerce giant attempts to prevent the spread of the highly infectious COVID-…",https://www.reuters.com/business/amazon-orders-employees-wear-masks-regardless-vaccination-status-bloomberg-news-2021-08-06/,https://www.reuters.com/resizer/6zMIYkACsKyF2dFAkNUI5NtohPM=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/WGT222CIWZOGLEHZ4LC66FNWWM.jpg,2021-08-06T19:27:00Z,"Packages emblazoned with Amazon logos travel along a conveyor belt inside of an Amazon fulfillment center in Robbinsville, New Jersey, U.S., November 27, 2017. REUTERS/Lucas JacksonAug 6 (Reuters) - … [+1003 chars]",reuters,Reuters
5,"David Randall,Saqib Ahmed,Lewis Krauskopf",Analysis: Where will yields go? Investors weigh U.S. jobs data against Delta fears - Reuters,"An unexpectedly strong jobs number for July has bolstered the case for investors who believe Treasury yields will head higher over the rest of the year, potentially weighing on an equity rally that has taken stocks to record highs.",https://www.reuters.com/world/us/where-will-yields-go-investors-weigh-us-jobs-data-against-delta-fears-2021-08-06/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=48,2021-08-06T18:55:00Z,"NEW YORK, Aug 6 (Reuters) - An unexpectedly strong jobs number for July has bolstered the case for investors who believe Treasury yields will head higher over the rest of the year, potentially weighi… [+3810 chars]",reuters,Reuters
6,Reuters Fact Check,Fact Check-Airlines or taxpayers are not providing free airfare to the U.S. for African migrants - Reuters,"Contrary to claims seen on social media sites, “African migrants” are not flying to the U.S. for free courtesy of American, Delta, or United Airlines or of the American taxpayers. The unsubstantiated rumors appear to stem from an article that misrepresents th…",https://www.reuters.com/article/factcheck-us-airlines-migrants-idUSL1N2PD1ZX,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-06T18:50:00Z,"Contrary to claims seen on social media sites, African migrants are not flying to the U.S. for free courtesy of American, Delta, or United Airlines or of the American taxpayers. The unsubstantiated r… [+3271 chars]",reuters,Reuters
7,Reuters Fact Check,"Fact Check-Misleading comparison between COVID-19 and diseases such as AIDS, chlamydia and Ebola - Reuters","Fact Check-Misleading comparison between COVID-19 and diseases such as AIDS, chlamydia and Ebola  Reuters",https://www.reuters.com/article/factcheck-covid-aids-idUSL1N2PD0LO,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-06T08:55:00Z,"A misleading comparison between COVID-19 and diseases like AIDS and Ebola has been made online.
One such comparison, made on Facebook (here), reads: So let me get this straight in my head, I can hav… [+3283 chars]",reuters,Reuters
8,"Carolyn Cohn,Noor Zainab Hussain,Kirstin Ridley",Insurers worry about COVID-19 discrimination claims as workers return to desks - Reuters,Liability insurers on both sides of the Atlantic are scaling back the cover they offer companies ahead of an expected wave of discrimination claims as employers call staff back to their desks after 18 months of pandemic-induced home working.,https://www.reuters.com/business/insurers-worry-about-covid-19-discrimination-claims-workers-return-desks-2021-08-06/,https://www.reuters.com/resizer/cJMMrqiQHjP_OE_JHltL1At3SwA=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/ANHSK2M6CZNFDIF3TQ2SJB7WLI.jpg,2021-08-06T12:04:00Z,"LONDON, Aug 6 (Reuters) - Liability insurers on both sides of the Atlantic are scaling back the cover they offer companies ahead of an expected wave of discrimination claims as employers call staff b… [+5255 chars]",reuters,Reuters
9,Joseph Ax,U.S. nurses' COVID-19 grief pours out online: 'I just don't want to watch anyone else die',"The intensive care nurse watched helplessly last year as COVID-19 sufferers died in her Mississippi hospital - slowly, painfully and alone. Then in July she was again confronted with a wave of deathly ill patients, even though almost all likely could have sav…",https://www.reuters.com/article/us-health-coronavirus-usa-nurses-idUSKBN2F7155,https://static.reuters.com/resources/r/?m=02&d=20210806&t=2&i=1571180471&r=LYNXMPEH750JS&w=800,2021-08-06T10:00:00Z,"(Reuters) - Nichole Atherton couldnt take it anymore.
Nichole Atherton, an intensive care nurse who has seen a fresh wave of coronavirus disease (COVID-19) patients at the hospital where she works, … [+5434 chars]",reuters,Reuters
